87,33,57,17,15,52,56,34,46,45
6,73,25,51,27,3,25,1,59,19
64,15,33,10,54,92,23,71,86,13
51,29,56,6,81,32,36,93,8,44
94,4,2,70,43,76,72,1,14,71
67,19,23,52,78,79,34,26,75,72
80,59,62,41,22,79,95,50,94,39
64,90,3,35,14,4,91,40,75,8
26,17,10,27,74,51,49,73,11,95
100,54,59,24,87,63,24,48,4,6
72,5,95,28,51,71,10,93,16,87
47,22,6,77,74,35,52,97,93,62
21,97,66,34,45,29,63,98,61,85
53,58,49,51,100,55,19,7,64,55
17,18,49,78,56,89,52,49,14,84
47,30,64,86,59,67,26,35,40,58
44,60,3,53,50,97,40,36,74,11
83,35,26,47,24,38,53,43,18,28
39,66,48,90,56,87,60,26,50,52
75,78,27,94,76,50,45,64,29,7
14,64,62,1,19,68,72,28,58,51
37,91,64,16,88,8,6,64,18,68
64,20,82,23,55,58,68,77,34,35
53,45,46,39,93,26,28,14,5,45
15,93,26,61,95,7,4,9,15,100
56,13,7,56,34,1,56,62,34,94
82,41,34,62,31,21,21,81,24,48
47,10,81,30,10,92,48,86,54,72
22,38,83,8,8,8,8,1,41,54
40,32,47,91,9,48,49,83,74,91
31,30,10,47,77,17,2,47,94,28
45,78,25,2,36,30,53,19,20,69
1,24,75,82,42,42,81,77,44,88
94,76,55,31,65,65,82,56,90,100
49,80,5,23,26,82,65,9,52,59
76,38,54,26,100,94,10,19,10,12
9,31,43,41,47,49,82,50,11,57
71,78,32,44,61,13,5,74,85,62
87,20,76,60,31,24,81,29,4,5
64,60,14,74,88,1,28,66,16,36
42,37,25,39,85,53,52,58,97,37
16,76,7,61,68,27,6,1,35,67
70,70,24,84,10,22,41,33,92,7
94,91,71,39,89,38,77,100,53,38
54,11,25,94,29,46,90,97,74,58
90,3,57,63,97,69,42,81,1,24
40,86,67,18,8,74,44,20,91,83
51,6,37,26,52,66,13,92,21,2
4,47,39,27,28,95,35,97,49,39
60,29,57,92,15,14,52,66,93,82
55,31,21,51,7,44,45,4,68,71
21,44,62,57,14,29,49,79,50,72
73,31,75,45,96,56,61,70,32,22
75,76,30,35,94,98,67,1,17,82
80,19,56,41,59,84,58,2,100,85
41,96,79,36,30,34,38,20,26,66
52,32,24,51,61,40,45,8,13,16
77,9,32,5,29,82,95,86,22,71
92,95,65,88,26,87,13,43,76,12
90,40,55,58,34,68,3,24,33,90
47,4,89,95,94,54,66,7,53,29
64,10,3,34,78,35,28,32,73,72
39,28,30,56,87,87,14,15,19,55
57,74,26,61,19,97,63,74,55,42
25,91,68,14,92,58,61,30,58,88
86,41,82,100,78,98,70,46,58,77
70,75,24,19,30,31,14,22,86,67
2,33,23,17,63,58,1,97,59,81
51,83,65,29,91,28,99,23,62,12
7,21,27,20,41,28,41,98,7,72
54,37,15,54,62,79,25,17,74,80
70,64,86,47,50,97,96,92,97,65
38,98,89,23,39,29,21,23,90,56
25,29,81,20,63,85,53,12,50,80
18,78,4,100,91,72,67,76,48,24
67,68,19,82,18,32,23,34,29,94
94,83,90,22,82,85,91,53,98,77
20,56,29,31,97,22,96,95,59,98
100,77,44,22,95,29,62,5,51,86
31,31,45,36,61,76,74,50,27,35
